RNCID,CellID
4199,12498
4199,12499
4199,18317
4199,18318
4199,18319
4199,18447
4199,18467
4199,18468
4199,18469
4199,18537
4199,18538
4199,18539
4199,18618
4199,18619
4199,18638
4199,18639
4199,23731
4199,29741
4199,29742
4199,29743
4199,29751
4199,29752
4199,29753
4199,57629
6153,27852
6153,27902
6153,27903
6153,27904
6153,27905
6153,27909
6153,27911
6153,27912
6153,27913
6153,27924
6153,27940
6153,28020
6153,28021
6153,28022
6153,28024
6153,28029
6153,28031
6153,28032
6153,28033
6305,17144
6305,17145
6305,17146
6305,17177
6305,17179
6305,17274
6305,17307
6305,58243
6362,29949
6362,29966
6362,29967
6362,29968
6362,29977
6362,29978
6362,30071
6362,30073
6362,30074
6362,30075
6362,30076
